,guid,premise,hypothesis,label
47939,3141832468011,A young boy wearing a hat made out of balloons smiles along with his dad.,a young boy crying along with his dad.,2
47973,6782145166310,College basketball player going up for a jump shot while another attempts to defend.,A person blocks the basketball shot.,0
47974,6782145166311,College basketball player going up for a jump shot while another attempts to defend.,A few people are listening to music at a house party.,2
47975,6782145166312,College basketball player going up for a jump shot while another attempts to defend.,A person fouled the next while blocking the ball.,1
48024,241347300211,"A football player in a Sooners jersey, runs down a field with a large crowd in the background.",The player is not wearing a jersey.,2
48025,241347300212,"A football player in a Sooners jersey, runs down a field with a large crowd in the background.",The football player is for Oklahoma.,1
48026,241347300210,"A football player in a Sooners jersey, runs down a field with a large crowd in the background.",The crowd is watching a football game.,0
48060,7368081478211,A man surfing on a white surfboard wearing specialized clothing.,The man is sitting on his surfboard in the water,2
48061,7368081478212,A man surfing on a white surfboard wearing specialized clothing.,"Young people wearing waterproof clothing,enjoy surfing into the waves.",1
48062,7368081478210,A man surfing on a white surfboard wearing specialized clothing.,Surfing on a surfboard requires waterproof clothing worn by people,0
48075,5388634274311,A man in brown and black is snowshoeing in a race.,A man is waterskiing.,2
48076,5388634274312,A man in brown and black is snowshoeing in a race.,A man is competing in winter sports.,1
48077,5388634274310,A man in brown and black is snowshoeing in a race.,A man is in a race.,0
48081,7735129098011,One man is making sure the scope is right and the other is getting ready to shoot the gun.,Two men are participating in an anti gun rally.,2
48082,7735129098012,One man is making sure the scope is right and the other is getting ready to shoot the gun.,One man is about to shoot a deer.,1
48083,7735129098010,One man is making sure the scope is right and the other is getting ready to shoot the gun.,Two men are outdoors.,0
48090,4808564802111,"Many people seem to be waiting for something, with the sunlight gone.",People are waiting for the sun to shine.,2
48091,4808564802112,"Many people seem to be waiting for something, with the sunlight gone.",People are waiting around together.,1
48092,4808564802110,"Many people seem to be waiting for something, with the sunlight gone.",Many people are waiting with no sunlight.,0
48105,34988312012,A couple of industrial construction workers appear to be trying to place something on a crane.,workers are getting ready to raise something heavy,1
48106,34988312011,A couple of industrial construction workers appear to be trying to place something on a crane.,workers are sitting around on a break,2
48107,34988312010,A couple of industrial construction workers appear to be trying to place something on a crane.,a huge construction project is under way,0
48132,1211184847210,Men sitting in a stone room chipping away at rocks.,Men hitting rocking,0
48133,1211184847211,Men sitting in a stone room chipping away at rocks.,Men working inside a building.,2
48134,1211184847212,Men sitting in a stone room chipping away at rocks.,Men working to knock down a wall.,1
48174,2613993276110,A little dog is bringing back a ball on an open grass field.,A little dog running through a field with a ball.,0
48175,2613993276111,A little dog is bringing back a ball on an open grass field.,A little dog runs from its owner.,2
48176,2613993276112,A little dog is bringing back a ball on an open grass field.,A little dog playing catch.,1
48366,331277641112,Four people on a sidewalk doing different things in front of a tent.,The yellow tent is by the sidewalk,1
48367,331277641111,Four people on a sidewalk doing different things in front of a tent.,The four people are cooperating together on a task,2
48368,331277641110,Four people on a sidewalk doing different things in front of a tent.,The people are in front of a tent,0
48450,4843623952312,A woman standing wearing gray holding a black bag.,A woman is standing,0
48451,4843623952311,A woman standing wearing gray holding a black bag.,A woman is walking in park,2
48452,4843623952310,A woman standing wearing gray holding a black bag.,A woman is wearing a gray colour dress and holding a black bag,0
48483,7586108058210,Two ballerinas dancing with beautiful pillars and building in background,There are two dancers.,0
48484,7586108058211,Two ballerinas dancing with beautiful pillars and building in background,Some dancers are being instructed.,2
48485,7586108058212,Two ballerinas dancing with beautiful pillars and building in background,Some people are performing a ballet on stage.,1
48672,5338988058412,One of three band members sings while the others continue to play.,The band member sang a solo.,1
48673,5338988058410,One of three band members sings while the others continue to play.,The band member sang.,0
48674,5338988058411,One of three band members sings while the others continue to play.,Three band members sang a song.,2
48726,6314475602012,"A few dozen able-bodied men in kilts are gathered for an outdoors event, with a thrown stick nearing the camera.",The men in kilts are playing on bagpipes.,1
48727,6314475602010,"A few dozen able-bodied men in kilts are gathered for an outdoors event, with a thrown stick nearing the camera.",A bunch of men are standing around outside.,0
48728,6314475602011,"A few dozen able-bodied men in kilts are gathered for an outdoors event, with a thrown stick nearing the camera.",The men are outside for a black tie event.,2
48810,3165826902110,A guy on Rollerblades is grinding on a rail in a skate park.,The rollerblade guy is jumping on rails.,0
48811,3165826902112,A guy on Rollerblades is grinding on a rail in a skate park.,The guy is doing tricks on his rollerblades.,1
48812,3165826902111,A guy on Rollerblades is grinding on a rail in a skate park.,The guy on rollerblades is doing cartwheels.,2
49320,2428088070210,A woman and two little boys posing for a picture at a dinner table.,A small family gathered for a meal.,0
49321,2428088070212,A woman and two little boys posing for a picture at a dinner table.,Two cousins and their aunt smile at the camera.,1
49322,2428088070211,A woman and two little boys posing for a picture at a dinner table.,A group of business people having drinks.,2
49344,2083778090210,A man with a goatee wears a fur hat in the snow.,There is a man outside.,0
49345,2083778090211,A man with a goatee wears a fur hat in the snow.,A man is standing on the beach.,2
49346,2083778090212,A man with a goatee wears a fur hat in the snow.,A man outside is dressed in a coat.,1
49497,4841235702010,Man in ball cap adjusting an umbrella at a concession stand.,a man in a ball cap is opening his umbrella,0
49498,4841235702012,Man in ball cap adjusting an umbrella at a concession stand.,it has started to rain hard so the man opened up his umbrella,1
49499,4841235702011,Man in ball cap adjusting an umbrella at a concession stand.,it is snowing really hard at the baseball game,2
49554,6227789666110,A competitive runner taking her first sprint in a competition.,a runner is running in her first race,0
49555,6227789666112,A competitive runner taking her first sprint in a competition.,a female runner is running a race,1
49556,6227789666111,A competitive runner taking her first sprint in a competition.,a women is riding her bike down the road,2
